"date","name","weight"
2019-05-31,"gagne",9.5
2019-06-08,"raison",18.06
2019-06-08,"simone",10.44
2019-06-08,"gagne",9.88
2019-06-12,"raison",17.69
2019-06-12,"simone",10.31
2019-06-12,"gagne",9.56
2019-06-15,"raison",17.75
2019-06-15,"simone",10.25
2019-06-15,"gagne",9.5
2019-06-21,"raison",18.25
2019-06-21,"simone",10.56
2019-06-21,"gagne",9.56
2019-07-03,"raison",18
2019-07-03,"simone",10
2019-07-03,"gagne",9.31
2019-07-08,"raison",18.06
2019-07-08,"simone",10.69
2019-07-08,"gagne",9.38
2019-07-16,"raison",18.38
2019-07-16,"simone",10.44
2019-07-16,"gagne",8.94
2019-07-19,"raison",18.12
2019-07-19,"simone",10.38
2019-07-19,"gagne",9
2019-07-23,"simone",10.25
2019-07-23,"gagne",8.75
2019-07-26,"raison",18.19
2019-07-26,"simone",10.25
2019-07-26,"gagne",9
2019-07-30,"raison",18.12
2019-07-30,"simone",10.25
2019-07-30,"gagne",8.75
2019-08-04,"raison",18.19
2019-08-04,"simone",10.38
2019-08-04,"gagne",8.69
2019-08-06,"raison",18.19
2019-08-06,"simone",10.44
2019-08-06,"gagne",8.81
2019-08-10,"raison",17.94
2019-08-10,"simone",10.19
2019-08-10,"gagne",8.75
2019-08-14,"raison",7.94
2019-08-14,"simone",10.44
2019-08-14,"gagne",8.88
2019-08-18,"raison",18
2019-08-18,"simone",10.25
2019-08-18,"gagne",8.69
2019-08-22,"raison",17.88
2019-08-22,"simone",10.38
2019-08-22,"gagne",8.56
2019-08-25,"raison",17.94
2019-08-25,"simone",10.31
2019-08-25,"gagne",8.38
2019-08-28,"raison",17.81
2019-08-28,"simone",10.31
2019-08-28,"gagne",8.12
2019-09-03,"raison",17.88
2019-09-03,"simone",9.88
2019-09-06,"raison",17.44
2019-09-06,"simone",10.12
2019-09-06,"gagne",8
2019-09-22,"raison",17.88
2019-09-22,"simone",9.94
2019-09-25,"raison",17.62
2019-09-25,"simone",10.19
2019-10-02,"raison",17.56
2019-10-02,"simone",10.25
2019-10-07,"raison",17.5
2019-10-07,"simone",10.06
2019-10-11,"raison",17.38
2019-10-11,"simone",10.25
2019-10-15,"raison",17.56
2019-10-15,"simone",10.31
2019-10-19,"raison",17.69
2019-10-19,"simone",10.19
2019-10-22,"raison",17.69
2019-10-22,"simone",10.31
2019-11-04,"raison",17.12
2019-11-04,"simone",9.12
2019-11-06,"raison",17.38
2019-11-06,"simone",9.62
2019-11-10,"raison",17.56
2019-11-10,"simone",10
2019-11-17,"raison",17.31
2019-11-17,"simone",9.75
2019-11-24,"raison",17.62
2019-11-24,"simone",9.88
2019-11-30,"raison",17.38
2019-11-30,"simone",9.75
2019-12-07,"raison",17.5
2019-12-07,"simone",9.88
2019-12-12,"raison",17.75
2019-12-12,"simone",10
2019-12-15,"raison",17.88
2019-12-15,"simone",10
2019-12-19,"raison",17.81
2019-12-19,"simone",9.88
2019-12-30,"raison",17.81
2019-12-30,"simone",9.88
2020-01-11,"raison",17.56
2020-01-11,"simone",9.62
2020-01-13,"raison",17.62
2020-01-13,"simone",9.56
2020-01-19,"raison",17.94
2020-01-19,"simone",9.69
2020-01-22,"raison",17.88
2020-01-22,"simone",9.81
2020-01-29,"raison",18
2020-01-29,"simone",9.94
2020-02-03,"raison",17.31
2020-02-03,"simone",9.31
2020-02-06,"raison",17.38
2020-02-06,"simone",9.62
2020-02-13,"raison",17.44
2020-02-13,"simone",9.94
2020-02-18,"raison",17.25
2020-02-18,"simone",9.25
2020-02-25,"raison",17.31
2020-02-25,"simone",9.75
2020-03-04,"raison",17.5
2020-03-04,"simone",10.06
2020-03-10,"raison",17.5
2020-03-10,"simone",10
2020-03-13,"raison",17.5
2020-03-13,"simone",9.94
2020-03-20,"raison",17.62
2020-03-20,"simone",10.19
2020-03-24,"raison",17.56
2020-03-24,"simone",10.06
2020-03-30,"raison",17.88
2020-03-30,"simone",10.06
2020-04-03,"raison",17.88
2020-04-03,"simone",10.06
2020-04-06,"raison",17.81
2020-04-06,"simone",10.31
2020-04-10,"raison",17.81
2020-04-10,"simone",10.19
2020-04-17,"raison",17.94
2020-04-17,"simone",10.5
2020-04-20,"raison",17.94
2020-04-20,"simone",10.56
2020-04-26,"raison",18.12
2020-04-26,"simone",10.38
2020-05-02,"raison",18.31
2020-05-02,"simone",10.38
2020-05-06,"raison",18.19
2020-05-06,"simone",10.44
2020-05-12,"raison",18.38
2020-05-12,"simone",10.38
2020-05-16,"raison",18.38
2020-05-16,"simone",10.5
2020-05-20,"raison",18.44
2020-05-20,"simone",10.56
2020-05-22,"raison",18.56
2020-05-22,"simone",10.81
2020-05-23,"raison",18.31
2020-05-23,"simone",10.62
2020-05-30,"raison",18.31
2020-05-30,"simone",10.5
2020-06-04,"raison",18.31
2020-06-04,"simone",10.25
2020-06-09,"raison",18.44
2020-06-09,"simone",10.5
2020-06-09,"std",20.98
2020-06-10,"raison",18.19
2020-06-10,"simone",10.38
2020-06-13,"raison",18.12
2020-06-13,"simone",10.56
2020-06-16,"raison",18.44
2020-06-16,"simone",10.44
2020-06-18,"raison",18.5
2020-06-18,"simone",10.44
2020-06-21,"raison",18.19
2020-06-21,"simone",10.44
2020-06-23,"raison",18.31
2020-06-23,"simone",10.5
2020-07-12,"raison",18.56
2020-07-12,"simone",10.5
2020-07-13,"raison",18.38
2020-07-14,"raison",18.38
2020-07-15,"raison",18.5
2020-07-15,"simone",10.38
2020-07-17,"raison",18.31
2020-07-17,"simone",10.75
2020-07-18,"raison",18.56
2020-07-20,"raison",18.62
2020-07-20,"simone",10.44
2020-07-23,"raison",18.62
2020-07-24,"raison",18.5
2020-07-24,"simone",10.56
2020-07-27,"raison",18.56
2020-07-27,"simone",10.5
2020-07-29,"raison",18.38
2020-07-29,"simone",10.5
2020-07-31,"raison",18.44
2020-07-31,"simone",10.44
2020-08-02,"raison",18.56
2020-08-02,"simone",10.62
2020-08-02,"std",20.98
2020-08-03,"raison",18.44
2020-08-03,"simone",10.5
2020-08-04,"raison",18.56
2020-08-04,"simone",10.44
2020-08-06,"raison",18.5
2020-08-06,"simone",10.56
2020-08-07,"raison",18.31
2020-08-07,"simone",10.38
2020-09-01,"raison",18.56
2020-09-01,"simone",9.38
2020-09-07,"raison",18.19
2020-09-07,"simone",9.94
2020-09-09,"raison",18
2020-09-09,"simone",10.12
2020-09-14,"raison",18.06
2020-09-14,"simone",9.5
2020-09-15,"raison",17.88
2020-09-15,"simone",10.19
2020-09-16,"raison",17.94
2020-09-16,"simone",10.12
2020-09-18,"simone",10.12
2020-09-19,"raison",18
2020-09-19,"simone",10.19
2020-09-21,"raison",18.25
2020-09-21,"simone",10
2020-09-24,"raison",17.81
2020-09-24,"simone",10.25
2020-09-29,"raison",17.94
2020-09-29,"simone",10.25
2020-10-01,"raison",17.75
2020-10-03,"raison",17.88
2020-10-06,"raison",17.75
2020-10-09,"raison",17.75
2020-10-13,"raison",18
2020-10-16,"raison",17.62
2020-10-20,"raison",17.62
2020-10-24,"raison",17.69
2020-10-24,"std",20.98
2020-10-26,"raison",17.56
2020-10-29,"raison",17.5
2020-11-02,"raison",17.5
2020-11-03,"raison",17.38
2020-11-06,"raison",17
2020-11-10,"raison",16.88
2020-11-10,"std",20.98
2020-11-16,"raison",16.88
2020-11-16,"simone",10.25
2020-11-18,"raison",16.94
2020-11-18,"simone",9.94
2020-11-20,"raison",16.88
2020-11-20,"simone",10
2020-11-24,"raison",16.69
2020-11-24,"simone",10.19
2020-11-29,"raison",16.62
2020-11-29,"simone",9.88
2020-12-01,"raison",16.69
2020-12-01,"simone",10
2020-12-03,"raison",16.75
2020-12-03,"simone",9.81
2020-12-05,"raison",16.44
2020-12-05,"simone",9.94
2020-12-05,"std",20.98
2020-12-08,"raison",16.56
2020-12-08,"simone",10
2020-12-11,"simone",10.06
2020-12-12,"raison",16.56
2020-12-12,"simone",9.81
2020-12-16,"raison",16.5
2020-12-16,"simone",10.12
2020-12-19,"raison",16.5
2020-12-19,"simone",10
2021-01-20,"raison",17.38
2021-01-20,"simone",9.69
2021-01-22,"raison",17.44
2021-01-22,"simone",9.81
2021-01-23,"raison",17.31
2021-01-23,"simone",10.06
2021-01-26,"raison",17.06
2021-01-26,"simone",9.25
2021-01-28,"raison",17.25
2021-01-28,"simone",9.19
2021-01-31,"raison",17.25
2021-01-31,"simone",9.19
2021-02-02,"raison",16.75
2021-02-02,"simone",8.69
2021-02-02,"std",20.96
2021-02-04,"raison",16.69
2021-02-04,"simone",8.81
2021-02-07,"raison",16.94
2021-02-07,"simone",9.38
2021-02-09,"raison",16.75
2021-02-09,"simone",9.38
2021-02-11,"raison",16.69
2021-02-11,"simone",9.38
2021-02-13,"raison",16.75
2021-02-13,"simone",9.5
2021-02-14,"raison",16.81
2021-02-14,"simone",9.56
2021-02-18,"raison",16.56
2021-02-18,"simone",9.5
2021-02-20,"raison",16.88
2021-02-20,"simone",9.38
2021-02-25,"raison",16.88
2021-02-25,"simone",9.44
2021-03-18,"raison",17.38
2021-03-18,"simone",9.5
2021-03-20,"raison",17.44
2021-03-20,"simone",9.25
2021-03-22,"raison",17.38
2021-03-22,"simone",9.5
2021-03-26,"raison",17.06
2021-03-26,"simone",9.44
2021-03-27,"raison",16.88
2021-03-27,"simone",9.44
2021-03-30,"raison",16.94
2021-03-30,"simone",9.31
2021-04-05,"raison",16.88
2021-04-05,"simone",9.56
2021-04-07,"raison",16.75
2021-04-07,"simone",9.44
2021-04-09,"raison",16.94
2021-04-09,"simone",9.62
2021-04-12,"raison",17.31
2021-04-12,"simone",9.56
2021-04-14,"raison",16.94
2021-04-14,"simone",9.44
2021-04-16,"raison",16.94
2021-04-16,"simone",9.38
2021-04-17,"raison",16.75
2021-04-17,"simone",9
2021-04-21,"raison",16.69
2021-04-21,"simone",9.25
2021-04-27,"raison",16.75
2021-04-27,"simone",9.12
2021-04-29,"raison",16.75
2021-04-29,"simone",9
2021-05-04,"raison",16.75
2021-05-04,"simone",8.81
2021-05-07,"raison",16.94
2021-05-07,"simone",9
2021-05-12,"raison",16.81
2021-05-12,"simone",8.94
2021-05-15,"raison",17.25
2021-05-15,"simone",9.19
2021-05-17,"raison",17.06
2021-05-17,"simone",9
2021-05-18,"raison",16.94
2021-05-18,"simone",9.12
2021-05-20,"raison",16.81
2021-05-20,"simone",9.25
2021-05-21,"raison",16.81
2021-05-21,"simone",8.88
2021-05-24,"raison",16.94
2021-05-24,"simone",9.38
2021-05-25,"raison",16.88
2021-05-25,"simone",9.19
2021-05-27,"raison",16.75
2021-05-27,"simone",9.25
2021-05-31,"raison",16.88
2021-05-31,"simone",9.12
2021-06-02,"raison",17.12
2021-06-02,"simone",9.31
2021-06-04,"raison",17.56
2021-06-04,"simone",9.44
2021-06-04,"std",21.04
2021-06-06,"raison",17
2021-06-06,"simone",9.56
2021-06-07,"raison",16.94
2021-06-07,"simone",9.31
2021-06-09,"raison",17.12
2021-06-09,"simone",9.44
2021-06-12,"raison",17.12
2021-06-12,"simone",9.25
2021-06-14,"raison",16.94
2021-06-14,"simone",9.62
2021-06-16,"raison",16.94
2021-06-16,"simone",9.5
2021-06-19,"raison",17.19
2021-06-19,"simone",9.62
2021-06-21,"raison",17.06
2021-06-21,"simone",9.56
2021-06-23,"raison",17.12
2021-06-23,"simone",9.56
2021-06-24,"raison",17.06
2021-06-24,"simone",9.56
2021-06-26,"raison",17.12
2021-06-26,"simone",9.69
2021-07-22,"raison",17.5
2021-07-22,"simone",9.5
2021-07-28,"raison",17.19
2021-07-28,"simone",9.62
2021-07-30,"raison",17.25
2021-07-30,"simone",9.5
2021-08-04,"raison",17.19
2021-08-04,"simone",9.38
2021-08-08,"raison",17.06
2021-08-08,"simone",9.44
2021-08-13,"raison",17.06
2021-08-13,"simone",9.38
2021-08-18,"raison",16.94
2021-08-18,"simone",9.5
2021-08-19,"raison",16.75
2021-08-19,"simone",9.44
2021-08-31,"raison",17.94
2021-08-31,"simone",9.44
2021-09-03,"raison",17.5
2021-09-03,"simone",9.25
2021-09-06,"raison",17.69
2021-09-06,"simone",9.38
2021-09-10,"raison",17.44
2021-09-10,"simone",9.25
2021-09-30,"raison",17.44
2021-09-30,"simone",8.88
2021-10-01,"raison",17.31
2021-10-01,"simone",9.06
2021-10-08,"raison",17.12
2021-10-08,"simone",8.81
2021-10-11,"raison",17.31
2021-10-11,"simone",8.81
2021-10-18,"raison",17.19
2021-10-18,"simone",8.44
2021-10-21,"raison",17.12
2021-10-21,"simone",8.5
2021-10-28,"raison",17.25
2021-10-28,"simone",8.5
2021-11-01,"raison",17.38
2021-11-01,"simone",8.38
2021-11-07,"raison",17
2021-11-07,"simone",8.38
2021-11-12,"raison",16.81
2021-11-12,"simone",8.5
2021-11-16,"raison",17.12
2021-11-16,"simone",8.25
2021-11-21,"raison",16.81
2021-11-21,"simone",8.25
2021-11-24,"raison",16.75
2021-11-24,"simone",8.12
2021-12-01,"raison",16.62
2021-12-01,"simone",8.12
2021-12-03,"raison",16.5
2021-12-03,"simone",8.12
2021-12-10,"raison",16.88
2021-12-10,"simone",8.19
2021-12-13,"raison",16.5
2021-12-13,"simone",8.25
2021-12-17,"raison",16.56
2021-12-17,"simone",7.88
2022-01-17,"raison",17.5
2022-01-17,"simone",7.69
2022-01-19,"raison",17.38
2022-01-19,"simone",7.75
2022-01-21,"raison",17.81
2022-01-21,"simone",7.94
2022-01-24,"raison",17.62
2022-01-24,"simone",7.75
2022-01-26,"raison",17.62
2022-01-26,"simone",8
2022-01-29,"raison",17.56
2022-01-29,"simone",7.75
2022-01-31,"raison",17.5
2022-01-31,"simone",7.75
2022-02-03,"raison",17.06
2022-02-03,"simone",7.69
2022-02-05,"raison",17.19
2022-02-05,"simone",7.75
2022-02-09,"raison",17.44
2022-02-09,"simone",8
2022-02-11,"raison",17.31
2022-02-11,"simone",8.06
2022-02-21,"raison",17.81
2022-02-21,"simone",7.5
2022-02-23,"raison",17.81
2022-02-23,"simone",7.75
2022-02-26,"raison",17.5
2022-02-26,"simone",7.88
2022-03-08,"raison",18.19
2022-03-08,"simone",7.62
2022-03-10,"raison",17.81
2022-03-10,"simone",7.75
2022-03-15,"raison",17.5
2022-03-15,"simone",7.69
2022-03-16,"raison",17.31
2022-03-16,"simone",7.75
2022-03-18,"raison",17.31
2022-03-18,"simone",7.62
2022-03-21,"raison",17.38
2022-03-21,"simone",7.69
2022-04-02,"raison",17.94
2022-04-02,"simone",7.94
2022-04-04,"raison",17.69
2022-04-04,"simone",7.81
2022-04-06,"raison",17.69
2022-04-06,"simone",7.75
2022-04-08,"raison",17.69
2022-04-08,"simone",7.38
2022-04-11,"raison",17.31
2022-04-11,"simone",7.5
2022-04-13,"raison",17.44
2022-04-13,"simone",8.06
2022-04-16,"raison",17.31
2022-04-16,"simone",7.81
2022-04-25,"raison",17.62
2022-04-25,"simone",8.5
2022-04-27,"raison",17.5
2022-04-27,"simone",8.06
2022-04-29,"raison",17.69
2022-04-29,"simone",7.88
2022-05-04,"raison",17.25
2022-05-04,"simone",7.62
2022-05-06,"raison",17.44
2022-05-06,"simone",7.56
